name,stationID,聚类簇号,站点类型,日均总客流,周末比,早高峰进站占比,晚高峰进站占比,早高峰出站占比
Xiangyin Road,847,3,通勤居住站,37476.3132183908,0.709433939017082,0.12926699352845997,0.05427297015043815,0.08090249088826544
Nenjiang Road,848,3,通勤居住站,48042.803639846745,0.7991127449587798,0.16604568644319329,0.03361856469372291,0.05076003266683183
Shiguang Road,849,3,通勤居住站,60806.50383141762,0.6886419987957499,0.18291302730428408,0.032338554765627844,0.0583735305472176
South Songjiang Railway Station,918,1,郊区低频站点,14846.822796934866,1.0598127892692568,0.09305068591806041,0.08555647557559942,0.08648476144883477
Zuibaichi,919,2,休闲商圈站,27016.73275862069,1.0069655953256162,0.13153974602838078,0.040525984464334454,0.06060765745167371
Songjiang Sports Center,920,3,通勤居住站,47379.92049808429,0.7734584762794736,0.1428262491577975,0.041814068178329576,0.05598442957553114
Songjiang New City,921,3,通勤居住站,45912.204980842915,0.8193031039369876,0.13455046558057987,0.04957672695795871,0.056573884875442036
Songjiang University Town,922,0,就业办公站,92592.34578544062,0.8278698850170971,0.14930190034708168,0.04617048776895737,0.049815392504911335
Dongjing,923,2,休闲商圈站,35497.33141762452,0.830456699248104,0.17325079887047157,0.044567107295983385,0.06110800697382364
Sheshan,924,0,就业办公站,89551.45881226053,0.7838842073842324,0.1934158976679181,0.03437974500549078,0.051677813355071094
Sijing,925,0,就业办公站,117997.97413793104,0.6763284592258677,0.20494848732019663,0.02783899174320734,0.03532523232588654
Jiuting,926,0,就业办公站,143560.46264367815,0.6493484288367104,0.17509390567735023,0.04793635745166348,0.057827638422541315
Zhongchun Road,927,2,休闲商圈站,31660.755747126437,0.5112408204469829,0.1312690505873634,0.08764963578479801,0.10129521110567039
Qibao,928,4,综合枢纽站,159955.65325670497,0.9477745102142113,0.113826140835259,0.06638167606316184,0.06852045559392815
Xingzhong Road,929,2,休闲商圈站,27392.02969348659,0.7568689052043408,0.1360267855830364,0.05549905002110899,0.06157421152731712
Hechuan Road,930,3,通勤居住站,76997.46264367815,0.42633555953204266,0.07548112655160168,0.1472700272156076,0.16354929623970763
Caohejing Hi-Tech Park,931,0,就业办公站,124470.02011494254,0.25689497178951176,0.0406778328625203,0.18183736852252222,0.21262262983999722
Guilin Road,932,0,就业办公站,114188.92432950193,0.45287346950316026,0.06678206570129638,0.13543599746941876,0.1557288493681326
Dapuqiao,937,4,综合枢纽站,164951.346743295,0.8402477426646219,0.04817708931958285,0.1017648552240438,0.10954695970411311
Xiaonanmen,940,3,通勤居住站,64914.21264367816,0.6354875777593659,0.09487010499066008,0.10253761735588554,0.11213282780769133
Shangcheng Road,941,0,就业办公站,127313.52681992338,0.6018886705557823,0.050675918165104056,0.13535381366723903,0.15360269726676376
Middle Yanggao Road,943,0,就业办公站,74051.3908045977,0.46516329736342193,0.11216454472441124,0.09674574918401312,0.12425380523158913
Hangzhong Road,1018,2,休闲商圈站,37366.14942528735,0.6177818629158597,0.19832269836427052,0.03172402684421708,0.06851666277179315
Ziteng Road,1019,1,郊区低频站点,12264.677203065134,0.490575409991027,0.10487665201097515,0.1080704548639564,0.13203465011566326
Longbai Xincun,1020,3,通勤居住站,53901.15996168583,0.6425952806540489,0.12198996149422138,0.07916195238693395,0.09289668626875253
Hongqiao Terminal 1,1043,2,休闲商圈站,24187.927203065134,0.6219194559970732,0.0543491641430858,0.10738803949083976,0.10785533151142221
Shanghai Zoo,1044,2,休闲商圈站,34616.7816091954,0.8917878219684477,0.11363120794508982,0.04344477359994456,0.09303077159164577
Longxi Road,1045,2,休闲商圈站,31089.082375478927,0.6535158747091815,0.11109722397495583,0.08648989286140964,0.1009031222596394
Shuicheng Road,1046,3,通勤居住站,51765.93486590039,0.7183876732103452,0.10119443322981483,0.084903970785986,0.09549799502778403
